Mã MH;Mã môn học tiên quyết;Mã môn học trước
ACCT3603;;
ACCT5123;;
ADENG1;;
ADENG2;;
ADENG3;ADENG2;
ADENG4;ADENG3;
AI001;;
AI002;;
AI301;;
AI302;;
AI503;;
AI504;;
AI505;;
BCH058;;
BOQC1;;
BUS1125;;
CE005;;
CE006;;
CE103;;IT006
CE105;;MA001 MA002 MA003
CE118;;PH002
CE119;;PH002
CE121;;
CE122;;
CE124;;CE121
CE125;;
CE126;;
CE201;;PH002 CE103 CE121
CE206;;PH002 CE103 CE121
CE207;;CE226 CE436 CE433
CE208;;CE207
CE212;;MA003 MA006
CE213;;PH002 CE118
CE222;;CE118
CE224;;CE103
CE226;;
CE232;;CE224
CE233;;MA003
CE3031;;MA006 MA003 CE121
CE304;;CE121 CE224 MA001 MA002
CE313;;IT001 IT006
CE315;;
CE317;;MA001 MA002 MA003 MA004 CE101 CE104 CE212
CE318;;IT006 IT007
CE319;;MA004
CE320;;MA004
CE323;;CE101 CE104 CE103
CE331;;CE222
CE332;;CE222
CE333;;ENG03 IT007
CE334;;CE124 CE213
CE335;;IT006 IT003 IT001
CE336;;CE118 CE213
CE337;;IT006 CE118 CE213
CE338;;IT006 IT007
CE339;;CE103 CE224
CE340;;
CE341;;
CE342;;CE224
CE343;;
CE344;;
CE345;;
CE346;;
CE347;;MA003
CE348;;
CE349;;CE103
CE350;;CE436
CE351;;CE433
CE352;;CE213 CE436
CE353;;CE226
CE405;;
CE406;;CE103
CE407;;IT006
CE408;;CE201 CE206 CE213
CE409;;CE118 CE213
CE410;;CE118 CE224
CE411;;CE107
CE412;;CE224
CE413;;CE103 CE224
CE421;;CE118 CE221 CE222
CE430;;
CE432;;CE118 CE213
CE433;;CE118 IT006 CE213
CE434;;CE213
CE435;;CE213
CE436;;MA003 MA006
CE437;;CE103
CE438;;CE103
CE439;;IT001 IT006
CE440;;
CE441;;CE103 CE224
CE442;;CE103 CE224
CE501;;
CE502;;
CE505;;CE206
CE506;;
CE507;;
CE508;;
CE510;;
CE511;;
CE512;;
CNBU001;;
CNBU002;;
CNBU003;;
CNBU004;;
CNBU005;;
CNBU006;;
CNBU007;;
CNBU008;;
CNBU009;;
CNBU101;;
CNBU102;;
CNBU103;;
CNBU104;;
CNBU105;;
CNBU106;;
CNBU107;;
CNBU108;;
CNBU201;;
CNBU202;;
CNBU203;;
CNBU204;;
CNBU205;;
CS005;;
CS105;;
CS106;;IT003
CS110;;
CS111;;IT003
CS1113;;
CS112;;IT001 IT003
CS113;;IT001 IT003
CS114;;IT001 MA003 MA004
CS115;;IT001
CS116;;IT001 IT002
CS117;;
CS211;;CS106
CS2133;;CS1113
CS2134;;
CS214;;
CS217;;IT002 IT003
CS221;;IT001 MA003 MA004
CS222;;CS221
CS226;;
CS229;;CS221
CS231;;
CS232;;
CS2433;;
CS302;;
CS311;;IT003
CS312;;CS110
CS313;;IT001 IT003
CS314;;
CS315;;CS110
CS316;;
CS317;CS114;
CS321;;IT001
CS323;;CS221
CS324;;CS221
CS325;;CS221
CS326;;CS221
CS331;;CS231
CS332;;
CS333;;
CS335;;IT001
CS336;;
CS3363;;
CS337;;IT003
CS3373;;
CS338;;
CS339;;
CS3423;;
CS3443;;
CS3613;;
CS3653;;MATH2154
CS405;;
CS406;;
CS409;;
CS410;IT003;
CS412;;CS221
CS414;;MA004
CS4143;;
CS4153;;CS2133
CS419;;CS114
CS420;;CS231
CS4243;;CS4283
CS4273;;
CS4283;;
CS431;;IT001 IT002
CS4323;;CS2134 CS3653
CS4343;;CS2134
CS4793;;
CS5000;;
CS5030;;
CS5031;;
CS505;;
CS511;;IT002 IT003 IT001
CS519;;
CS521;;IT003 MA004
CS522;;IT003 MA004
CS523;;IT003 IT001
CS524;;CS221
CS525;;
CS526;;IT002 IT003
CS527;;
CS528;;
CS529;;
CS530;;
CS532;;
CS534;;
CS535;;CS221 CS114
CS5423;;
CS5433;;CS5423 CS4283 MSIS4013
CS551;;
CS553;;
CS554;;
CSBU001;;
CSBU002;;
CSBU003;;
CSBU004;;
CSBU005;;
CSBU006;;
CSBU007;;
CSBU008;;
CSBU009;;
CSBU010;;
CSBU011;;
CSBU012;;
CSBU013;;
CSBU014;;
CSBU015;;
CSBU016;;
CSBU101;;
CSBU102;;
CSBU103;;
CSBU104;;
CSBU105;;
CSBU106;;
CSBU107;;
CSBU108;;
CSBU109;;
CSBU110;;
CSBU111;;
CSBU112;;
CSBU201;;
CSBU202;;
CSBU203;;
CSBU204;;
CSBU205;;
CU001;;
DAI015;;
DS005;;
DS101;MA005;MA006 MA003
DS102;;
DS103;;
DS104;;IT004
DS105;;MA005 IT001 DS103
DS106;;MA003
DS107;;IT002
DS108;;IT001 IT004
DS111;;IT001 MA005
DS200;;
DS201;;DS102
DS202;;
DS203;;DS202
DS204;;
DS207;;
DS300;;
DS301;;IT007
DS302;MA005;
DS303;MA005;
DS304;;MA005
DS305;MA005;
DS306;DS200;
DS307;;IT004
DS308;;
DS309;;
DS310;;DS102
DS311;;
DS312;;
DS313;;DS102
DS314;;
DS315;;IT004
DS316;;
DS317;;IT002 IT003
DS318;;
DS319;;IT003 IT002 DS102
DS320;;IT002 IT003 DS102
DS321;;
DS322;;
DS323;;
DS324;;MA003 IT003
DS325;DS108;
DS326;;
DS327;;IT003 IT002 DS102
DS400;;
DS501;;DS400
DS502;;
DS505;;DS207
DTH039;;
EC001;;
EC002;;
EC003;;
EC005;;
EC101;;
EC201;;
EC204;;
EC208;;
EC213;;
EC214;;
EC222;;
EC229;;
EC232;;
EC304;;
EC311;;
EC312;;IS207
EC331;;
EC332;;
EC333;;
EC334;;
EC335;;IT005 IS207
EC336;;
EC337;;
EC338;;
EC401;;
EC402;;
EC403;;
EC404;;
EC405;;
EN001.CO;;
EN001.GE;;
EN002.CO;;
EN002.GE;;
ENG01;;
ENG02;;ENG01
ENG03;;ENG02
ENG04;;ENG03
ENG05;;ENG04
ENG06;;ENG03
ENG07;;ENG03
ENGA1;;
ENGA2;;
ENGL1113;;
ENGL1213;ENGL1113;
GDH075;;
IE005;;
IE101;;
IE102;;
IE103;;IT004
IE104;;IT001 IT005
IE105;;
IE106;;IT001
IE108;;
IE201;;MA005 MA006
IE203;;IT001 IT004
IE204;;IE104
IE205;;IS351
IE206;;
IE207;;IT001 IT004
IE209;;IT002
IE212;;IT007
IE213;;IE104
IE216;;
IE218;;
IE221;;IT001
IE223;;
IE224;;
IE225;;
IE226;;
IE227;;
IE228;;
IE229;;
IE230;;
IE231;;
IE232;;
IE233;;
IE301;;
IE302;;
IE303;;IT002
IE304;;IS251
IE305;;IE101 IS251
IE307;;
IE309;;
IE310;;
IE313;;IT001
IE400;;
IE401;;IT003
IE402;;IT004
IE403;;
IE405;;
IE406;;
IE501;;IE400
IE502;;
IE505;;
IEM4733;;MSIS3303
IEM5723;;MSIS2433
INI01;;
INT001;;
INT002;;
INT003;;
INT004;;
INT005;;
INT006;;
IS005;;
IS105;;IT004
IS201;;IT004 IT002
IS207;;IT004
IS208;;
IS210;;IT004
IS211;;IT004 IT005
IS212;;
IS215;;IT002 IT004
IS216;;IT004
IS217;;IT004
IS220;;
IS232;;IS336
IS251;;IT004
IS252;;MA005 IT004
IS254;;
IS311;;
IS332;;IS201
IS334;;
IS335;;IT007 IT005 IT004
IS336;;
IS339;;
IS340;;
IS341;;
IS342;;
IS344;;
IS345;;
IS346;;
IS347;;
IS348;;
IS349;;
IS351;;IS251
IS352;;IT004 IS251
IS353;;IT004 MA004
IS354;;
IS355;;
IS356;;
IS357;;
IS358;;
IS360;;
IS361;;
IS362;;
IS363;;
IS364;;
IS401;;
IS402;;IT005 IT007
IS403;;MA005 IT004
IS405;;IT004
IS406;;
IS407;;
IS502;;
IS503;;
IS505;;
IS6301;;
IT001;;
IT002;;IT001
IT003;;IT001
IT004;;
IT005;;
IT006;;PH002 IT001
IT007;;IT006
IT008;;IT001 IT002
IT009;;
IT010;;
IT011;;
IT012;;
IT013;;
ITNT005;;
JAN01;;
JAN02;;JAN01
JAN03;;JAN02
JAN04;;JAN03
JAN05;;JAN04
JAN06;;JAN05
JAN07;;JAN06
JAN08;;JAN07
JANHU;;
MA003;;
MA004;;
MA005;;MA006
MA006;;
MATH2144;;
MATH2153;;MATH2144
MATH2154;;
MATH3013;;
ME001;;
MKTG4223;;
MKTG5883;;CS5423
MM001;;
MM002;;
MM003;;
MM004;;
MM006;;
MM101;;
MM103;;
MM214;;
MSIS207;;CS5423 CS2134
MSIS2433;;CS2134
MSIS3033;;
MSIS3233;;MATH2154
MSIS3242;;
MSIS3243;;MATH2153
MSIS3303;;CS5423
MSIS4013;;CS5423
MSIS402;;
MSIS405;;
MSIS406;;
MSIS4133;;
MSIS4243;;
MSIS4263;;
MSIS4443;;
MSIS4523;;
MSIS5723;;
NHJP1;;
NHJP2;;
NNH050;;
NT005;;
NT015;;
NT101;;IT005
NT103;;
NT104;;IT001
NT105;;IT005
NT106;;IT005 IT001
NT109;;IT004 NT106
NT111;;IT005
NT113;;NT132
NT114;;
NT115;;
NT117;;
NT118;;IT002
NT121;;
NT131;;IT007
NT132;;IT005
NT133;;IT006 IT007
NT137;;
NT140;;IT005
NT201;;
NT204;;
NT205;;NT101
NT207;;NT101
NT208;;IT002 IT004
NT209;;IT006 IT001
NT210;;IT005 NT106
NT211;;
NT212;;NT101 IT004
NT213;;NT208
NT215;;
NT216;;
NT219;;
NT230;;IT007 NT101
NT303;;NT105
NT310;;NT101
NT311;;NT101
NT312;;NT101
NT330;;NT101
NT331;;IT005 NT101
NT332;;IT005
NT333;;IT005 NT106
NT334;;
NT402;;NT105
NT405;;NT101 IT005
NT406;;
NT504;;NT114 NT117
NT505;;
NT506;;
NT508;;
NT521;;IT002 NT209
NT522;;
NT523;;MA003
NT531;;NT132
NT532;;
NT533;;IT005
NT534;;NT101
NT535;;NT101
NT536;;
NT537;;
NT538;;IT005
NT539;;IT005
NT540;;NT105
NT541;;
NT542;;NT132
NT543;;NT105
NT544;;NT105
NT545;;NT402
NT546;;NT113
NT547;;
NT548;;IT005
PE231;;
PE232;;
PH001;;
PH002;;
PHYS1114;;
PHYS1214;;PHYS1114
PHYS1215;;
QTE111;;
SC203;;
SE005;;
SE100;;SE104 IT008
SE101;;IT001 IT002 IT003
SE102;;IT001
SE104;;IT002 IT004
SE106;;IT001 IT003 SE104 IT002
SE109;;SE104
SE111;;IT001 IT002 IT003 IT004 SE104
SE112;;IT002 IT003 IT004 SE104
SE113;;SE104
SE114;;IT001 IT002
SE121;;SE104
SE122;;SE121
SE214;;SE104 IT001 IT003
SE215;;SE104
SE220;;SE102
SE221;;SE102
SE301;;IT003 IT004 IT002 SE104 SE109 IT001
SE310;;IT008
SE313;;IT002 IT003 IT001
SE320;;SE102
SE325;;IT002 IT003 IT004
SE327;;SE102
SE328;;IT002 IT003 SE102
SE329;;SE102
SE330;;IT001 IT002
SE331;;IT004 SE104
SE332;;IT004
SE334;;IT001
SE341;;IT001 IT002 IT004
SE343;;SE347
SE344;;IT001 SE346
SE346;;IT001 IT008
SE347;;IT001 IT002 IT004
SE348;;SE331
SE350;;
SE351;;IT001 IT002 IT003
SE352;;SE102
SE354;;
SE355;;IT003
SE356;;SE104 SE100
SE357;;SE104
SE358;;SE104
SE400;;SE100 SE104
SE401;;SE100
SE403;;
SE404;;
SE405;;SE114
SE406;;SE100
SE407;;SE114
SE417;;
SE501;;
SE505;;SE122
SE506;;SE122
SE507;;SE122
SPCH2713;;
SPCH3723;;
SPCH3724;;
SS003;;
SS004;;
SS006;;
SS007;;
SS008;;
SS009;;
SS010;;
STAT3013;;STAT4033
STAT4033;;MATH3013
THU086;;
THU107;;
TLH025;;
TOEIC 450;;
TOEIC450;;
CARC1;;
CE101;;
CE102;;
CE104;;PH001 CE101
CE106;;
CE107;;IT001 IT006 CE103
CE108;;
CE109;;
CE110;;
CE111;;IT006
CE112;;
CE113;;
CE114;;
CE115;;
CE116;;
CE117;;PH001 CE101
CE202;;
CE203;;
CE204;;
CE205;;
CE211;;CE107
CE219;;
CE221;;PH002 CE118
CE301;;
CE302;;
CE303;;MA001 MA002 CE101 CE212 CE107
CE306;;
CE312;;IT006 IT007 CE103 CE211
CE314;;CE103 MA004
CE316;;MA004
CE321;;CE222
CE322;;CE222
CE324;;CE104 CE221
CE325;;IT001 IT006 IT003
CE326;;CE221
CE327;;CE118 IT006 CE221
CE401;;IT006 IT007
CE402;;IT007 IT006 CE107
CE403;;PH002 IT006 CE221
CE404;;
CM101;;
CNET1;;
CS003;;
CS004;;
CS013;;
CS014;;
CS019;;
CS101;;
CS102;;
CS103;;
CS104;;
CS107;;
CS108;;
CS109;;
CS210;;
CS212;;
CS213;;
CS223;;
CS224;;
CS225;;
CS227;;
CS228;;
CS233;;
CS301;;
CS322;;CS212
CS334;;
CS351;;
CS3513;;
CS352;;
CS371;;
CS372;;
CS401;;
CS402;;
CS403;;
CS404;;
CS407;;
CS408;;
CS411;;
CS415;;
CS417;;
CS418;;
CS421;;
CS4344;;
CS4883;;
CS501;;
CS502;;
CS503;;IT003
CS504;;
CS506;;
CS507;;
CS508;;
CS510;;
CS513;;
CS515;;
CS516;;
CS517;;
CS518;;
CS531;;
CSC01;;
CSC11;;
CSC12;;
CSC21;;
CSKI1;;
DBSS1;;
DSAL1;;
DSAL2;;
EC202;;
EC203;;
EC212;;
EC219;;
EC301;;
EC302;;
ECE02;;
ECON3313;;
EN001;ENBT;
EN002;EN001;
EN003;EN002;
EN004;;
EN005;;
EN006;;
ENBT;;
ENG00;;
ENG11;;
ENG12;;
ENG13;;
ENG14;;
ENG15;;
ENGBT;;
ENLS1;;
ENLS2;;
ENRW1;;
ENRW2;;
HCMT1;;
IE107;;
IE202;;
IE208;;
IE210;;
IE211;;
IE217;;
IE222;;
IE404;;
IS101;;
IS102;;
IS103;;
IS104;;
IS106;;
IS107;;
IS202;;
IS203;;IT004
IS204;;
IS205;;
IS206;;IT004
IS213;;
IS214;;
IS218;;
IS219;;
IS225;;
IS253;;IT002
IS301;;
IS302;;
IS303;;
IS3033;;
IS304;;
IS305;;
IS306;;
IS3303;;
IS337;;
IS338;;IS336
IS343;;
IS4013;;
IS404;;
IS4133;;
IS4263;;
IS4523;;
IS501;;
IS5100;;
ITEM1;;
ITEW1;;
LIA01;;
LIA11;;
MA001;;
MA002;;MA001
MAT01;;
MAT02;;
MAT04;;
MAT11;;
MAT12;;
MAT14;;
MAT21;;
MAT22;;
MAT23;;
MAT24;;
MEDU1;;
MLPE1;;
MLPE2;;
MSIS4363;;
MSIS4800;;
MSIS4801;;
NT102;;
NT107;;
NT108;;
NT110;;IT002
NT112;;IT005
NT116;;
NT119;;MA001 MA002
NT130;;IT007 NT101
NT202;;
NT203;;
NT206;;IT005
NT301;;
NT302;;
NT304;;
NT305;;
NT306;;
NT307;;
NT309;;
NT320;;
NT321;;
NT395;;
NT401;;
NT403;;
NT404;;
NT407;;
NT408;;
NT501;;
NT502;;IT005 NT101 NT109
NT503;;IT005 NT101
NT507;;
NT509;;
OOPT1;;
OOPT2;;
OSYS1;;
OSYS2;;
PE001;;
PE002;;
PE003;;
PE012;;
PEDU1;;
PEDU2;;
PH003;;
PHIL1;;
PHIL2;;
PHY01;;
PHY02;;
PHY03;;
PHY11;;
PHY12;;
PHY22;;
SE103;;
SE105;;
SE107;;IT002 IT004 SE104
SE108;;IT001 SE104
SE110;;
SE207;;
SE208;;
SE209;;
SE210;;
SE211;;
SE212;;
SE213;;
SE311;;
SE312;;IT004 SE104 SE347
SE321;;
SE322;;
SE323;;
SE324;;
SE326;;
SE333;;
SE335;;
SE336;;
SE337;;
SE338;;
SE339;;
SE340;;IT001
SE342;;
SE345;;
SE349;;
SE402;;IT005 IT008
SE418;;
SMET1;;
SMET2;;
SOCI1;;
SP3724;;
SS001;;
SS002;;
SS005;;
SSKL1;;
STA01;;
STAT11;;
VCPH1;;
VCPL1;;
WINP1;;
