hoc_ky;ma_mon_hoc;ma_lop;so_tin_chi;ma_giang_vien;thu;tiet;cach_tuan;ngay_bat_dau;ngay_ket_thuc;phong_hoc;si_so;hinh_thuc_giang_day;ghi_chu
2024_2025_2;CS106;CS106.P21;3;;5;123;1;17/02/2025;07/06/2025;C309;;LT;
2024_2025_2;CS338;CS338.P21;3;;3;123;1;17/02/2025;07/06/2025;C309;;LT;
2024_2025_2;CS338;CS338.P22;3;;4;123;1;17/02/2025;07/06/2025;C309;;LT;
2024_2025_2;CS338;CS338.P23;3;;3;678;1;17/02/2025;07/06/2025;C309;;LT;
2024_2025_2;CS313;CS313.P23;3;;6;678;1;17/02/2025;07/06/2025;C309;;LT;
2024_2025_2;CS410;CS410.P21;3;;6;123;1;17/02/2025;07/06/2025;C309;;LT;
2024_2025_2;CS419;CS419.P21;3;;2;123;1;17/02/2025;07/06/2025;C309;;LT;
2024_2025_2;IS353;IS353.P21;3;;3;1234;1;17/02/2025;10/05/2025;C311;;LT;Môn chuyên đề tốt nghiệp
2024_2025_2;IS211;IS211.P23;3;;4;6789;1;17/02/2025;10/05/2025;C311;;LT;
2024_2025_2;IS201;IS201.P21;3;;3;6789;1;17/02/2025;10/05/2025;C311;;LT;
2024_2025_2;EC101;EC101.P21;3;;4;1234;1;17/02/2025;10/05/2025;C311;;LT;
2024_2025_2;EC208;EC208.P21;3;;5;1234;1;17/02/2025;10/05/2025;C311;;LT;
2024_2025_2;IE303;IE303.P21;3;;3;6789;1;17/02/2025;10/05/2025;C314;;LT;
2024_2025_2;DS313;DS313.P21;3;;3;1234;1;17/02/2025;10/05/2025;C314;;LT;
2024_2025_2;IE204;IE204.P21;3;;2;1234;1;17/02/2025;10/05/2025;C314;;LT;
2024_2025_2;IE212;IE212.P22;3;;5;1234;1;17/02/2025;10/05/2025;C314;;LT;
2024_2025_2;DS304;DS304.P21;3;;5;6789;1;17/02/2025;10/05/2025;C314;;LT;
2024_2025_2;NT132;NT132.P22;3;;6;123;1;17/02/2025;07/06/2025;E10.1;;LT;
2024_2025_2;EC335;EC335.P21;3;;5;1234;1;17/02/2025;10/05/2025;E41;;LT;
2024_2025_2;EC335;EC335.P22;3;;5;6789;1;17/02/2025;10/05/2025;E41;;LT;
2024_2025_2;ENG03;ENG03.P220;4;;2;45;1;17/02/2025;17/05/2025;E42;;LT;
2024_2025_2;ENG02;ENG02.P28;4;;5;45;1;17/02/2025;17/05/2025;E43;;LT;
2024_2025_2;PE231;PE231.P24;0;;7;123;1;17/02/2025;07/06/2025;*;;LT;Bóng bàn
2024_2025_2;PE231;PE231.P29;0;;7;678;1;17/02/2025;07/06/2025;*;;LT;Bóng bàn
2024_2025_2;PE231;PE231.P22;0;;7;123;1;17/02/2025;07/06/2025;*;;LT;Bóng chuyền
2024_2025_2;PE231;PE231.P28;0;;7;678;1;17/02/2025;07/06/2025;*;;LT;Bóng chuyền
2024_2025_2;PE231;PE231.P21;0;;7;123;1;17/02/2025;07/06/2025;*;;LT;Bóng đá
2024_2025_2;PE231;PE231.P27;0;;7;678;1;17/02/2025;07/06/2025;*;;LT;Bóng đá
2024_2025_2;PE231;PE231.P23;0;;7;123;1;17/02/2025;07/06/2025;*;;LT;Bóng rổ
2024_2025_2;PE231;PE231.P26;0;;7;123;1;17/02/2025;07/06/2025;*;;LT;Võ thuật
2024_2025_2;IT007;IT007.P210.1;1;;6;12345;2;03/03/2025;17/05/2025;*;;HT1;
2024_2025_2;IT007;IT007.P210.2;1;;6;12345;2;10/03/2025;07/06/2025;*;;HT1;
2024_2025_2;MM003;MM003.P22.1;1;;*;*;1;17/02/2025;03/05/2025;*;;HT2;
2024_2025_2;MM003;MM003.P23.1;1;;*;*;1;17/02/2025;03/05/2025;*;;HT2;
2024_2025_2;CE410;CE410.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;môn CĐTN
2024_2025_2;IE402;IE402.P21.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;DS313;DS313.P21.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;IE204;IE204.P21.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;IE204;IE204.P22.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;IE106;IE106.P21.CNVN.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;IE106;IE106.P22.CNVN.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;IE101;IE101.P21.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;IE105;IE105.P21.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;IE101;IE101.P22.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;IE105;IE105.P22.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;DS107;DS107.P21.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;IE101;IE101.P21.CNVN.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS313;CS313.P22.1;1;;*;*;1;24/02/2025;07/06/2025;*;;HT2;
2024_2025_2;IS336;IS336.P21.1;1;;*;*;1;03/03/2025;07/06/2025;*;;HT2;
2024_2025_2;EC201;EC201.P21.1;1;;*;*;1;03/03/2025;07/06/2025;*;;HT2;
2024_2025_2;EC201;EC201.P22.1;1;;*;*;1;03/03/2025;07/06/2025;*;;HT2;
2024_2025_2;NT539;NT539.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;NT548;NT548.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;NT405;NT405.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;NT121;NT121.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;NT113;NT113.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;NT113;NT113.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;NT536;NT536.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;NT538;NT538.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;NT207;NT207.P21.ANTT.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;NT205;NT205.P21.ANTT.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;SE104;SE104.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;SE104;SE104.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;SE104;SE104.P23.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;SE104;SE104.P25.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;SE102;SE102.P21.1;1;;*;*;1;17/02/2025;12/04/2025;*;;HT2;TC CS ngành
2024_2025_2;SE102;SE102.P22.1;1;;*;*;1;17/02/2025;12/04/2025;*;;HT2;TC CS ngành
2024_2025_2;SE114;SE114.P21.1;1;;*;*;1;17/02/2025;12/04/2025;*;;HT2;TC CS ngành
2024_2025_2;SE114;SE114.P22.1;1;;*;*;1;17/02/2025;12/04/2025;*;;HT2;TC CS ngành
2024_2025_2;SE114;SE114.P23.1;1;;*;*;1;21/04/2025;14/06/2025;*;;HT2;TC CS ngành
2024_2025_2;SE358;SE358.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;Môn chuyên ngành được dạy bằng tiếng Anh
2024_2025_2;SE330;SE330.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;Môn học giảng dạy bằng hình thức Blended-learning
2024_2025_2;SE330;SE330.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;Tự chọn CN
2024_2025_2;SE334;SE334.P21.1;1;;*;*;1;17/02/2025;12/04/2025;*;;HT2;Tự chọn CN
2024_2025_2;SE334;SE334.P22.1;1;;*;*;1;21/04/2025;14/06/2025;*;;HT2;Tự chọn CN
2024_2025_2;SE346;SE346.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;Tự chọn CN
2024_2025_2;SE356;SE356.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;Tự chọn CN
2024_2025_2;SE356;SE356.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;Tự chọn CN
2024_2025_2;SE104;SE104.P28.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;Lớp dành cho SV khoa KHMT
2024_2025_2;SE104;SE104.P29.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;Lớp dành cho SV khoa KHMT
2024_2025_2;CS112;CS112.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS112;CS112.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS112;CS112.P23.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS112;CS112.P24.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS116;CS116.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS116;CS116.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS117;CS117.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS117;CS117.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS106;CS106.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS106;CS106.P23.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;Lớp dành cho ngành Trí tuệ nhân tạo
2024_2025_2;CS231;CS231.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS231;CS231.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS114;CS114.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS221;CS221.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS221;CS221.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS105;CS105.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS105;CS105.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS338;CS338.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS338;CS338.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS338;CS338.P23.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS313;CS313.P23.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS410;CS410.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS523;CS523.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS419;CS419.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS331;CS331.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS331;CS331.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS321;CS321.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS431;CS431.P21.1;1;;*;*;1;17/02/2025;26/04/2025;*;;HT2;
2024_2025_2;CS112;CS112.P25.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;Lớp dành cho ngành Trí tuệ nhân tạo
2024_2025_2;CS114;CS114.P23.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;Lớp dành cho ngành Trí tuệ nhân tạo
2024_2025_2;CS116;CS116.P23.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS431;CS431.P22.1;1;;*;*;1;17/02/2025;26/04/2025;*;;HT2;
2024_2025_2;CS317;CS317.P21.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;CS317;CS317.P22.1;1;;*;*;1;17/02/2025;07/06/2025;*;;HT2;
2024_2025_2;IT003;IT003.P21.CNVN.1;1;;5;12345;2;03/03/2025;17/05/2025;B2.02;;HT1;
2024_2025_2;IT003;IT003.P21.CNVN.2;1;;5;12345;2;10/03/2025;07/06/2025;B2.02;;HT1;
2024_2025_2;CE222;CE222.P21.1;1;;2;67890;2;03/03/2025;17/05/2025;B2.02;;HT1;Học lại, cải thiện
2024_2025_2;CE222;CE222.P21.2;1;;2;67890;2;10/03/2025;07/06/2025;B2.02;;HT1;Học lại, cải thiện
2024_2025_2;IE303;IE303.P21.1;1;;6;12345;2;10/03/2025;07/06/2025;B2.02;;HT1;
2024_2025_2;IE213;IE213.P22.1;1;;3;67890;2;03/03/2025;17/05/2025;B2.02;;HT1;
2024_2025_2;IE213;IE213.P22.2;1;;3;67890;2;10/03/2025;07/06/2025;B2.02;;HT1;
2024_2025_2;IE103;IE103.P21.CNVN.1;1;;6;67890;2;03/03/2025;17/05/2025;B2.02;;HT1;
2024_2025_2;IE103;IE103.P21.CNVN.2;1;;6;67890;2;10/03/2025;07/06/2025;B2.02;;HT1;
2024_2025_2;IE108;IE108.P21.1;1;;2;12345;2;03/03/2025;17/05/2025;B2.02;;HT1;
2024_2025_2;IE108;IE108.P21.2;1;;2;12345;2;10/03/2025;07/06/2025;B2.02;;HT1;
2024_2025_2;IS405;IS405.P22.1;1;;6;12345;2;03/03/2025;17/05/2025;B2.02;;HT1;Môn K17/chuyên đề tốt nghiệp
2024_2025_2;IS201;IS201.P22.1;1;;5;67890;2;03/03/2025;17/05/2025;B2.02;;HT1;
2024_2025_2;IS201;IS201.P22.2;1;;5;67890;2;10/03/2025;07/06/2025;B2.02;;HT1;
2024_2025_2;NT132;NT132.P21.1;1;;2;67890;2;03/03/2025;24/05/2025;B2.04;;HT1;
2024_2025_2;NT132;NT132.P21.2;1;;2;67890;2;10/03/2025;31/05/2025;B2.04;;HT1;
2024_2025_2;NT132;NT132.P22.1;1;;6;67890;2;03/03/2025;24/05/2025;B2.04;;HT1;
2024_2025_2;NT132;NT132.P22.2;1;;6;67890;2;10/03/2025;31/05/2025;B2.04;;HT1;
2024_2025_2;NT132;NT132.P23.1;1;;3;67890;2;03/03/2025;24/05/2025;B2.04;;HT1;
2024_2025_2;NT132;NT132.P23.2;1;;3;67890;2;10/03/2025;31/05/2025;B2.04;;HT1;
2024_2025_2;NT204;NT204.P21.ANTT.1;1;;5;67890;2;03/03/2025;24/05/2025;B2.04;;HT1;
2024_2025_2;NT204;NT204.P21.ANTT.2;1;;5;67890;2;10/03/2025;31/05/2025;B2.04;;HT1;
2024_2025_2;CE213;CE213.P23.1;1;;2;12345;2;03/03/2025;17/05/2025;B2.06;;HT1;
2024_2025_2;CE213;CE213.P23.2;1;;2;12345;2;10/03/2025;07/06/2025;B2.06;;HT1;
2024_2025_2;IE103;IE103.P21.1;1;;5;67890;2;03/03/2025;17/05/2025;B2.06;;HT1;
2024_2025_2;IE103;IE103.P21.2;1;;5;67890;2;10/03/2025;07/06/2025;B2.06;;HT1;
2024_2025_2;IE108;IE108.P22.1;1;;3;67890;2;03/03/2025;17/05/2025;B2.06;;HT1;
2024_2025_2;IE108;IE108.P22.2;1;;3;67890;2;10/03/2025;07/06/2025;B2.06;;HT1;
2024_2025_2;NT118;NT118.P21.1;1;;6;67890;2;03/03/2025;24/05/2025;B2.06;;HT1;
2024_2025_2;NT118;NT118.P21.2;1;;6;67890;2;10/03/2025;31/05/2025;B2.06;;HT1;
2024_2025_2;IS211;IS211.P23.1;1;;4;12345;2;03/03/2025;17/05/2025;B2.06;;HT1;
2024_2025_2;IS211;IS211.P23.2;1;;4;12345;2;10/03/2025;07/06/2025;B2.06;;HT1;
2024_2025_2;IS216;IS216.P21.1;1;;2;67890;2;03/03/2025;17/05/2025;B2.06;;HT1;
2024_2025_2;IS216;IS216.P21.2;1;;2;67890;2;10/03/2025;07/06/2025;B2.06;;HT1;
2024_2025_2;IE103;IE103.P22.1;1;;5;67890;2;03/03/2025;17/05/2025;B2.08;;HT1;
2024_2025_2;IE103;IE103.P22.2;1;;5;67890;2;10/03/2025;07/06/2025;B2.08;;HT1;
2024_2025_2;DS102;DS102.P21.1;1;;3;67890;2;03/03/2025;17/05/2025;B2.08;;HT1;
2024_2025_2;DS102;DS102.P21.2;1;;3;67890;2;10/03/2025;07/06/2025;B2.08;;HT1;
2024_2025_2;NT541;NT541.P21.1;1;;4;12345;2;03/03/2025;24/05/2025;B2.08;;HT1;
2024_2025_2;NT541;NT541.P21.2;1;;4;12345;2;10/03/2025;31/05/2025;B2.08;;HT1;
2024_2025_2;NT208;NT208.P21.ANTT.1;1;;6;67890;2;03/03/2025;24/05/2025;B2.08;;HT1;
2024_2025_2;NT208;NT208.P21.ANTT.2;1;;6;67890;2;10/03/2025;31/05/2025;B2.08;;HT1;
2024_2025_2;IS252;IS252.P21.1;1;;5;12345;2;03/03/2025;17/05/2025;B2.08;;HT1;
2024_2025_2;IT002;IT002.P21.1;1;;2;67890;2;03/03/2025;17/05/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P21.2;1;;2;67890;2;10/03/2025;07/06/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P22.1;1;;2;12345;2;03/03/2025;17/05/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P22.2;1;;2;12345;2;10/03/2025;07/06/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P210.1;1;;4;12345;2;03/03/2025;17/05/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P210.2;1;;4;12345;2;10/03/2025;07/06/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P213.1;1;;5;67890;2;03/03/2025;17/05/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P213.2;1;;5;67890;2;10/03/2025;07/06/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P214.1;1;;5;12345;2;03/03/2025;17/05/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P214.2;1;;5;12345;2;10/03/2025;07/06/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P217.1;1;;6;67890;2;03/03/2025;17/05/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P217.2;1;;6;67890;2;10/03/2025;07/06/2025;B2.10;;HT1;
2024_2025_2;IT007;IT007.P23.1;1;;3;67890;2;03/03/2025;17/05/2025;B2.10;;HT1;
2024_2025_2;IT007;IT007.P23.2;1;;3;67890;2;10/03/2025;07/06/2025;B2.10;;HT1;
2024_2025_2;IT002;IT002.P211.1;1;;4;67890;2;03/03/2025;17/05/2025;B2.12;;HT1;
2024_2025_2;IT002;IT002.P211.2;1;;4;67890;2;10/03/2025;07/06/2025;B2.12;;HT1;
2024_2025_2;IT002;IT002.P215.1;1;;5;67890;2;03/03/2025;17/05/2025;B2.12;;HT1;
2024_2025_2;IT002;IT002.P215.2;1;;5;67890;2;10/03/2025;07/06/2025;B2.12;;HT1;
2024_2025_2;IT003;IT003.P25.1;1;;3;67890;2;03/03/2025;17/05/2025;B2.12;;HT1;
2024_2025_2;IT003;IT003.P25.2;1;;3;67890;2;10/03/2025;07/06/2025;B2.12;;HT1;
2024_2025_2;IT003;IT003.P29.1;1;;4;12345;2;03/03/2025;17/05/2025;B2.12;;HT1;
2024_2025_2;IT003;IT003.P29.2;1;;4;12345;2;10/03/2025;07/06/2025;B2.12;;HT1;
2024_2025_2;IT003;IT003.P216.1;1;;5;12345;2;03/03/2025;17/05/2025;B2.12;;HT1;
2024_2025_2;IT003;IT003.P216.2;1;;5;12345;2;10/03/2025;07/06/2025;B2.12;;HT1;
2024_2025_2;IT004;IT004.P21.1;1;;3;12345;2;03/03/2025;17/05/2025;B2.12;;HT1;
2024_2025_2;IT004;IT004.P21.2;1;;3;12345;2;10/03/2025;07/06/2025;B2.12;;HT1;
2024_2025_2;CE126;CE126.P21.1;1;;4;67890;2;03/03/2025;17/05/2025;B2.14;;HT1;
2024_2025_2;CE126;CE126.P21.2;1;;4;67890;2;10/03/2025;07/06/2025;B2.14;;HT1;
2024_2025_2;IT003;IT003.P21.TTNT.1;1;;3;67890;2;03/03/2025;17/05/2025;B2.14;;HT1;
2024_2025_2;IT002;IT002.P28.1;1;;3;12345;2;03/03/2025;17/05/2025;B2.16;;HT1;
2024_2025_2;IT002;IT002.P28.2;1;;3;12345;2;10/03/2025;07/06/2025;B2.16;;HT1;
2024_2025_2;IT003;IT003.P28.1;1;;4;67890;2;03/03/2025;17/05/2025;B2.16;;HT1;
2024_2025_2;IT003;IT003.P28.2;1;;4;67890;2;10/03/2025;07/06/2025;B2.16;;HT1;
2024_2025_2;IT003;IT003.P212.1;1;;5;67890;2;03/03/2025;17/05/2025;B2.16;;HT1;
2024_2025_2;IT003;IT003.P212.2;1;;5;67890;2;10/03/2025;07/06/2025;B2.16;;HT1;
2024_2025_2;IT003;IT003.P213.1;1;;5;12345;2;03/03/2025;17/05/2025;B2.16;;HT1;
2024_2025_2;IT003;IT003.P213.2;1;;5;12345;2;10/03/2025;07/06/2025;B2.16;;HT1;
2024_2025_2;IT003;IT003.P217.1;1;;6;67890;2;03/03/2025;17/05/2025;B2.16;;HT1;
2024_2025_2;IT003;IT003.P217.2;1;;6;67890;2;10/03/2025;07/06/2025;B2.16;;HT1;
2024_2025_2;PH002;PH002.P24.1;1;;7;67890;2;03/03/2025;17/05/2025;B2.16;;HT1;
2024_2025_2;PH002;PH002.P24.2;1;;7;67890;2;10/03/2025;07/06/2025;B2.16;;HT1;
2024_2025_2;DS200;DS200.P21.1;1;;4;12345;2;03/03/2025;17/05/2025;B2.16;;HT1;
2024_2025_2;DS200;DS200.P21.2;1;;4;12345;2;10/03/2025;07/06/2025;B2.16;;HT1;
2024_2025_2;NT533;NT533.P21.1;1;;2;67890;2;03/03/2025;24/05/2025;B2.16;;HT1;
2024_2025_2;NT533;NT533.P21.2;1;;2;67890;2;10/03/2025;31/05/2025;B2.16;;HT1;
2024_2025_2;IS216;IS216.P22.1;1;;3;67890;2;03/03/2025;17/05/2025;B2.16;;HT1;
2024_2025_2;IS216;IS216.P22.2;1;;3;67890;2;10/03/2025;07/06/2025;B2.16;;HT1;
2024_2025_2;IS210;IS210.P21.1;1;;2;12345;2;03/03/2025;17/05/2025;B2.16;;HT1;
2024_2025_2;IS210;IS210.P21.2;1;;2;12345;2;10/03/2025;07/06/2025;B2.16;;HT1;
2024_2025_2;IS210;IS210.P22.1;1;;6;12345;2;03/03/2025;17/05/2025;B2.16;;HT1;
2024_2025_2;IS210;IS210.P22.2;1;;6;12345;2;10/03/2025;07/06/2025;B2.16;;HT1;
